"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
606,"Archives municipales d'Avignon","3Fi","31/12/1989","Archives privées","Collecte privée",NA,NA,"Plan de la commune de Villeneuve-les-Avignon, 1989.","Plan commercial de la commune de Villeneuve-les-Avignon, 1989.","Support électronique","0,01",1,"1989"
607,"Archives municipales d'Avignon","W ?","30/01/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Dossiers de patients, consultations, compte-rendus d'opérations, répertoires etc...","Support papier","0",0,"2012"
608,"Archives municipales d'Avignon","1E","06/01/2012","Archives publiques","Versement",NA,NA,"Etat-civil","3 registres de naissances (1E118), mariages (1E268), décès (1E417) (1911) de l'état-civil d'Avignon","Support papier","0,15",3,"2012"
609,"Archives municipales d'Avignon","1E512","06/01/2012","Archives publiques","Versement",NA,NA,"Mairie de Montfavet","1 registre naissances, mariages, décès (1911)","Support papier","0,1",1,"2012"
610,"Archives municipales d'Avignon","1E511","13/01/2011","Archives publiques","Versement",NA,NA,"Mairie de Montfavet","1 registre naissances, mariages, décès 1910","Support papier","0,1",1,"2011"
611,"Archives municipales d'Avignon","1E","13/01/2011","Archives publiques","Versement",NA,NA,"Etat-civil","3 registres naissances (1E117), mariages (1E267), décès (1E416) 1910 pour l'état-civil d'Avignon","Support papier","0,2",3,"2011"
612,"Archives municipales d'Avignon","1079W","02/02/2012","Archives publiques","Versement",NA,NA,"Etudes maitrise d’ouvrage et habitat","Fichiers numériques études d'urbanisme (1998-2010)","Support papier","0",6,"2012"
613,"Archives municipales d'Avignon","1078W","03/02/2012","Archives publiques","Versement",NA,NA,"Hygiène","33 articles de doubles de PC et DT (2006), Rajout de 13 articles chrono, factures (2006).","Support papier","4,6",46,"2012"
614,"Archives municipales d'Avignon","1080W","07/02/2012","Archives publiques","Versement",NA,NA,"Bureau du Plan","2 plans de la ville au format numérique","Support papier","0,01",2,"2012"
615,"Archives municipales d'Avignon","Fi","14/02/2012","Archives privées","Don",NA,NA,"Lot de 11 photographies","11 photographies d'Avignon (vues classiques, épreuve cycliste, inondations...) prises en 1947 ou 1951.","Support papier","0,01",11,"2012"
616,"Archives municipales d'Avignon","1081W","17/02/2012","Archives publiques","Versement",NA,NA,"Voirie travaux neufs","23 articles de travaux d'aménagement de voirie et assainissement (1991-2007).","Support papier","2,1",23,"2012"
617,"Archives municipales d'Avignon","1082W","20/02/2012","Archives publiques","Versement",NA,NA,"Etat-civil","61 articles du bureau des décès (2010).","Support papier","6,1",61,"2012"
618,"Archives municipales d'Avignon","1083W","20/02/2012","Archives publiques","Versement",NA,NA,"Voirie circulation","24 articles d'arrêtés temporaires de voirie (2005-2009).","Support papier","2,4",24,"2012"
619,"Archives municipales d'Avignon","1084W","20/02/2012","Archives publiques","Versement",NA,NA,"Etat-civil","53 articles du bureau des décès (2011).","Support papier","5,3",53,"2012"
620,"Archives municipales d'Avignon","1085W","20/02/2012","Archives publiques","Versement",NA,NA,"Etat-civil","14 articles du bureau des naissances (2010).","Support papier","1,4",14,"2012"
621,"Archives municipales d'Avignon","1086W","21/02/2012","Archives publiques","Versement",NA,NA,"Etat-civil","4 articles du bureau des naissances (2007-2008)","Support papier","0,4",4,"2012"
622,"Archives municipales d'Avignon","131Fi","13/02/2012","Archives privées","Achat",NA,NA,"Lot de 63 photographies et cartes postales","Photographies et cartes photos : inondations de 1951 et 1955 ; occupation allemande ; libération de 1944.","Support papier","0,05",63,"2012"
623,"Archives municipales d'Avignon","9Fi","17/02/2012","Archives privées","Don",NA,NA,"Cartes postales","2 cartes postales : statue de JH Fabre et cour d'honneur du musée Calvet.","Support papier","0,01",2,"2012"
624,"Archives municipales d'Avignon","1087W","02/03/2012","Archives publiques","Versement",NA,NA,"Cabinet du Maire","18 articles de comptes-rendus du conseil d'administration du SDIS + convention de transfert Ville/Département (1995-2010).","Support papier","1,8",18,"2012"
625,"Archives municipales d'Avignon","Num","02/03/2012","Archives privées","Don",NA,NA,"1 CD (étude rues de Montfavet et photographies chantiers)","Cd contenant : une étude de 162 pages sur les rues de Montfavet ; un dossier de 186 photographies sur les travaux du passage à niveau de Saint-Chamand en 2009-2010 ; un dossier de 63 photographies sur le chantier de la LEO ; un répertoire de 5 films sur le pont de la LEO.","Support papier","0,05",1,"2012"
