"ID","nomArch","coteArch","dateEntree","statutJur","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt"
6896,"Archives municipales de St Etienne","FI","06/11/2007","Archives privées","Don",NA,NA,"64 tirages noir et blanc des succursales ligériennes du Comptoir National d'Escompte de Paris.","64 tirages noir et blanc des succursales ligériennes du Comptoir National d'Escompte de Paris.","Support papier","0,10",64
6897,"Archives municipales de St Etienne","S","02/01/2008","Archives privées","Don",NA,NA,"Photos et pièces sur l'ASSE","Photos et pièces sur l'ASSE","Support papier","0,05",0
6898,"Archives municipales de St Etienne","FI","31/01/2008","Archives privées","Don",NA,NA,"20 photos et 2 négatifs pris dans le quartier Badoulière pendant l'Occupation et à la Libération.","20 photos et 2 négatifs pris dans le quartier Badoulière pendant l'Occupation et à la Libération.","Support papier","0,05",22
6899,"Archives municipales de St Etienne","FI","07/03/2008","Archives privées","Don",NA,NA,"29 photos du quartier Tarentaize.","29 photos du quartier Tarentaize.","Support papier","0,10",29
6900,"Archives municipales de St Etienne","S","07/03/2008","Archives privées","Don",NA,NA,"Fascicule critique sur la cadidature de Saint-Etienne à Capitale Européenne de la Culture.","Fascicule critique sur la cadidature de Saint-Etienne à Capitale Européenne de la Culture.","Support papier","0,05",1
6901,"Archives municipales de St Etienne","S","02/01/2008","Archives privées","Don",NA,NA,"Publications historiques diverses.","Publications historiques diverses.","Support papier","0,05",0
6902,"Archives municipales de St Etienne","S","13/03/2008","Archives publiques","Versement",NA,NA,"Matériel du laboratoire pris dans les sous-sol du bâtiment de la DSI (rue Montyon)","Matériel du laboratoire pris dans les sous-sol du bâtiment de la DSI (rue Montyon)","Support papier","3,30",0
6903,"Archives municipales de St Etienne","W","27/03/2008","Archives publiques","Versement",NA,NA,"Dossiers POS et ZAC","Dossiers POS et ZAC","Support papier","2,50",19
6904,"Archives municipales de St Etienne","W","20/03/2008","Archives publiques","Versement",NA,NA,"Livres et objets reçus en cadeaux par M. le Maire Michel Thiollière et objets donnés en cadeaux aux invités","Livres et objets reçus en cadeaux par M. le Maire Michel Thiollière et objets donnés en cadeaux aux invités","Support papier","4,20",13
6905,"Archives municipales de St Etienne","N","27/03/2008","Archives publiques","Versement",NA,NA,"Titres de concessions, documents funéraires, cimetière du Crêt de Roc - îlot 21.","Titres de concessions, documents funéraires, cimetière du Crêt de Roc - îlot 21.","Support papier","1,05",12
6905,"Archives municipales de St Etienne","W","27/03/2008","Archives publiques","Versement",NA,NA,"Titres de concessions, documents funéraires, cimetière du Crêt de Roc - îlot 21.","Titres de concessions, documents funéraires, cimetière du Crêt de Roc - îlot 21.","Support papier","1,05",12
6906,"Archives municipales de St Etienne","S","26/03/2008","Archives privées","Don",NA,NA,"Tracts et professions de foi recueillis durant la campagne des municipales","Tracts et professions de foi recueillis durant la campagne des municipales","Support papier","0,05",1
6907,"Archives municipales de St Etienne","EL","08/04/2008","Archives publiques","Versement",NA,NA,"offres et candidatures non retenues","offres et candidatures non retenues","Support électronique","8,80",44
6908,"Archives municipales de St Etienne","EL","08/04/2008","Archives publiques","Versement",NA,NA,"Pièces des marchés","Pièces des marchés","Support papier","2,40",16
